b,g,e,iter,time.taken
-1,1.5,0.5,2,1974145
-1,1.5,0.5,2,394714
-1,1.5,0.5,3,950636
-1,1.5,0.5,3,303595
-1,1.5,0.5,3,175968
-1,1.5,0.5,3,408355
-1,1.5,0.5,34,341287
-1,1.5,0.5,4,402076
-1,1.5,0.5,4,165013
-1,1.5,0.5,4,371971
-1,1.5,0.5,4,366832
-1,1.5,0.5,5,334082
-1,1.5,0.5,5,307034
-1,1.5,0.5,5,411046
-1,2,-0.5,1,375631
-1,2,-0.5,1,473765
-1,2,-0.5,1,396989
-1,2,-0.5,2,356973
-1,2,-0.5,2,412251
-1,2,-0.5,2,405706
-1,2,-0.5,2,432888
-1,2,-0.5,3,341676
-1,2,-0.5,3,444225
-1,2,-0.5,3,130550
-1,2,-0.5,3,432387
-1,2,-0.5,3,319168
-1,2,-0.5,3,432435
-1,2,-0.5,34,321720
-1,2,-0.5,4,229026
-1,2,-0.5,4,457050
-1,2,-0.5,4,478879
-1,2,-0.5,4,354210
-1,2,-0.5,4,452112
-1,2,-0.5,68,371643
-1,2,0,1,378679
-1,2,0,1,352656
-1,2,0,1,464460
-1,2,0,1,338269
-1,2,0,2,394953
-1,2,0,2,423999
-1,2,0,2,318859
-1,2,0,3,394382
-1,2,0,3,880850
-1,2,0,3,425688
-1,2,0,3,183820
-1,2,0,3,358785
-1,2,0,34,311980
-1,2,0,4,425452
-1,2,0,4,432584
-1,2,0,4,202118
-1,2,0,4,402799
-1,2,0,68,288301
-1,2,0.5,1,640620
-1,2,0.5,1,413269
-1,2,0.5,1,473804
-1,2,0.5,1,353202
-1,2,0.5,1,347586
-1,2,0.5,2,424483
-1,2,0.5,2,428576
-1,2,0.5,2,390040
-1,2,0.5,3,373917
-1,2,0.5,3,317377
-1,2,0.5,3,355795
-1,2,0.5,3,183141
-1,2,0.5,35,429203
-1,2,0.5,4,331379
-1,2,0.5,4,404192
-1,2,0.5,4,366015
-1,2,0.5,4,935406
-1,2,0.5,67,327020
-1.5,-0.5,0,1,471584
-1.5,-0.5,0,2,386938
-1.5,-0.5,0,2,2018336
-1.5,-0.5,0,2,398337
